# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

..core.contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..core.bus|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase2_factory_consumer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase2_executor_consumer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase2_evidence_consumer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase2_contract_consumer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase0_90_02_bootstrap|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.providers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.wiring_types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.core.bus|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.core.contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.core.event|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.vocabulary.signal_vocabulary|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.vocabulary.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.vocabulary.alignment_checker|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.irrigation.irrigation_map|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.irrigation.irrigation_executor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.vehicles.signal_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.vehicles.signal_context_scoper|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.scripts.generate_contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
queue|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
. signal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.event|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bus|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..core.event|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..signals.types.consumption|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.irrigation_map|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..vehicles.base_vehicle|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..signals.types.operational|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..vocabulary.signal_vocabulary|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..vocabulary.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.base_vehicle|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.. core.signal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..signals.types.structural|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..signals.types.integrity|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..signals.types.epistemic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_context_scoper|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_evidence_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_intelligence_layer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_loader|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_quality_metrics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_enhancement_integrator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_irrigator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signals|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.dependencies|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.modular_resolver|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.validators|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.policy_area_scorer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.orchestration.orchestrator_config|ERA_ORCHESTRATOR|LIVE|N/A|REDIRECT|MIGRATION_ARTIFACT
dotenv|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.interphase.phase1_08_00_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.registries|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_03.phase3_24_00_signal_enriched_scoring|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.phase6_30_00_cluster_aggregator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_08.phase8_20_01_recommendation_engine_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_08.primitives.PHASE_8_CONSTANTS|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
